word,word_occurrences,freqs
rossa,45555,4.346453817778005e-05
jetty,230229,0.0002196640799063
wizzo,1091,1.040935378157349e-06
cuppa,14677,1.4003490875541166e-05
cohoe,4427,4.223850521633899e-06
gurks,0,0.0
squad,1624512,0.0015499651815225
beisa,2456,2.343297239921585e-06
shrug,731029,0.0006974829959294
fossa,881105,0.0008406721964906
fluyt,1030,9.827345916609251e-07
camus,433682,0.0004137808768744
speed,22260860,0.0212393370506029
mamil,0,0.0
array,7039483,0.0067164499529213
polio,478105,0.0004561653611126
barns,775531,0.0007399428549566
panes,534767,0.000510227212989
souts,476,4.54156956922913e-07
limas,21774,2.077481844546115e-05
fetch,2032126,0.0019388742862267
queck,983,9.378913627210578e-07
twink,14241,1.3587498368779842e-05
graze,437819,0.0004177280351324
crock,175418,0.0001673682879611
almud,3411,3.2544734875295303e-06
oohed,10783,1.0288181652310444e-05
colog,10230,9.760558128826472e-06
wisht,48375,4.61551319141721e-05
beard,3850228,0.0036735458654188
samel,9924,9.468600085090314e-06
ahind,2236,2.1333927640328435e-06
brung,56750,5.414581366675486e-05
barca,96331,9.191049121290156e-05
mahal,142749,0.0001361984274029
jambe,20855,1.989799020299864e-05
plush,435540,0.0004155536155844
bruja,18745,1.78848154569748e-05
howre,8884,8.476324380888991e-06
middy,32262,3.0781537277829874e-05
kabab,3015,2.876645430929796e-06
zeals,2250,2.1467503215894e-06
mazel,126087,0.0001203010256881
sputa,44217,4.218793731987489e-05
goory,0,0.0
pails,261912,0.000249893186768
scogs,664,6.335298726823829e-07
snool,966,9.216714714023824e-07
poboy,0,0.0
doest,110192,0.0001051354273051
orixa,4805,4.584504575660919e-06
quipo,1107,1.0562011582219848e-06
burbs,10155,9.688999784773492e-06
goads,53342,5.0894202512987456e-05
blaud,6858,6.543294980204491e-06
flocs,15471,1.4761055211248711e-05
harim,17604,1.6796174516115466e-05
mamey,10359,9.883638480597596e-06
primp,11410,1.0886409408593357e-05
lathy,6544,6.243704046436015e-06
lunes,29773,2.840675436652497e-05
staps,4463,4.25819852677933e-06
salad,3117290,0.0029742414711055
agony,2647896,0.0025263873731267
gusli,4300,4.102678392370853e-06
damps,63188,6.028838192026266e-05
tocks,12960,1.2365281852354945e-05
hoick,4089,3.90136091776847e-06
marry,8624815,0.0082290330555107
amply,1013745,0.0009672255132265
glisk,1077,1.0275778206007928e-06
pulis,4542,4.333573315848469e-06
apter,87017,8.302389899277547e-05
shell,9472035,0.0090373751921582
capas,7306,6.970736822014291e-06
saunf,0,0.0
kutis,788,7.518396681833098e-07
teggs,1014,9.674688115962897e-07
halsh,0,0.0
gamma,2440212,0.0023282337314428
tardy,400016,0.0003816597673959
tease,648775,0.0006190035288396
towts,0,0.0
abuts,61976,5.913199908036651e-05
allee,100250,9.564965321748326e-05
chins,184093,0.0001756452030899
rolly,20548,1.960507804800844e-05
situs,206180,0.0001967186583579
bards,369547,0.0003525889515966
phyma,775,7.394362218807933e-07
torrs,2740,2.6142648360688693e-06
chace,136693,0.0001304203296484
bikky,272,2.595182610988075e-07
stoor,4109,3.920443142849264e-06
quink,1967,1.876736836696156e-06
wedgy,569,5.428893035486083e-07
vises,27485,2.622374781728207e-05
swore,1754266,0.0016737649331792
upsee,438,4.179007292694032e-07
gyves,21457,2.047236517793056e-05
heapy,1861,1.7756010437679436e-06
gilas,2032,1.938754068208738e-06
gairs,443,4.226712855396018e-07
yonic,908,8.663330186680779e-07
wagon,4775443,0.0045563039093252
rance,83787,7.994211964222713e-05
swail,1991,1.899635506793109e-06
laxed,4114,3.925213699119463e-06
panne,26891,2.565700573238247e-05
tabus,34689,3.309716529138431e-05
anomy,8683,8.284548018827004e-06
swarm,902331,0.0008609241619689
sword,8964555,0.0085531828129581
pharm,636674,0.0006074578285544
penes,39266,3.746413250112417e-05
snoek,13742,1.3111396853014017e-05
razet,425,4.054972829668866e-07
nahal,28947,2.761865847068816e-05
kapus,4290,4.093137279830456e-06
lokey,6171,5.887820548679194e-06
gobos,3484,3.324123609074431e-06
jails,504425,0.0004812775693189
afars,8041,7.672008593733495e-06
nerka,11582,1.105051654428819e-05
cundy,12131,1.1574323622756004e-05
snark,55944,5.337679999599884e-05
intra,1547444,0.0014764337353962
bundh,0,0.0
tanga,37810,3.607494651524232e-05
baaed,27143,2.589744176840048e-05
solus,110741,0.0001056592343836
senor,719165,0.0006861634200114
umami,9529,9.091726139744618e-06
wared,3285,3.134255469520524e-06
sharp,14296221,0.0136401853463391
pewed,1927,1.8385723865345664e-06
tuktu,1972,1.881507392966354e-06
knowd,6889,6.572872429079723e-06
dawds,197,1.8795991704582746e-07
flurr,0,0.0
inert,1325435,0.0012646124499981
taxus,55006,5.248184363970957e-05
ruana,3728,3.5569267550601257e-06
sulci,102689,9.797673056608615e-05
jaded,264801,0.0002526496141809
othyl,0,0.0
redig,3941,3.760152452170589e-06
manky,1942,1.852884055345162e-06
ovism,825,7.8714178458278e-07
matlo,0,0.0
cease,5138721,0.0049029115374703
perae,174,1.660153582029136e-07
sixes,123498,0.0001178308316513
pubco,732,6.984094379570847e-07
yappy,5089,4.855472171808203e-06
famed,1002951,0.0009569268363504
hexed,11264,1.0747109165503555e-05
bawrs,0,0.0
decry,142596,0.000136052448381
iddah,1954,1.8643333903936387e-06
dixit,184794,0.000176314035079
cased,162381,0.0001549295395422
rupia,8928,8.518305276066738e-06
toidy,929,8.863693550029122e-07
hodad,261,2.490230373043704e-07
yukes,0,0.0
gaffe,40938,3.905940651787861e-05
annoy,518517,0.0004947229051109
leugh,1964,1.873874502934036e-06
howay,5295,5.052019090140388e-06
pixel,894577,0.0008535259833051
linga,40223,3.837721697124019e-05
bayou,498970,0.0004760728924282
lurgy,1080,1.030440154362912e-06
lears,35342,3.3720199940272254e-05
scrat,2481,2.3671500212725784e-06
prize,6183649,0.0058998891019315
homes,11412890,0.0108891667901175
scroo,0,0.0
egest,788,7.518396681833098e-07
mopus,1720,1.6410713569483412e-06
verbs,3382161,0.0032269578730742
maple,2092912,0.0019968708929148
barfs,1632,1.5571095665928448e-06
judge,25642928,0.0244662061913305
salle,791258,0.0007549481626489
shine,2937215,0.0028024298870343
zineb,12571,1.1994132574533488e-05
flexo,5376,5.129302101717606e-06
gismo,3082,2.940570884950458e-06
rears,186157,0.0001776144887182
khads,101,9.636523665801308e-08
begum,67005,6.393022457693233e-05
glade,373643,0.0003564969912931
imams,92347,8.810931197680726e-05
